row_id,order_id,year,Order Date,Ship Date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,Sales,Quantity,Discount,Profit,Profit Margin,Delivery Days
54,CA-2013-105816,2013,2013-12-12,2013-12-18,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.00,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.00,0.00,6.26,41.00,6.00
55,CA-2013-105816,2013,2013-12-12,2013-12-18,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024.00,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5.00,0.00,298.69,29.00,6.00
56,CA-2013-111682,2013,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.00,0.00,52.14,25.00,1.00
57,CA-2013-111682,2013,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40,5.00,0.00,15.55,48.00,1.00
58,CA-2013-111682,2013,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.00,0.10,7.10,2.22,1.00
59,CA-2013-111682,2013,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.00,0.00,6.99,48.00,1.00
60,CA-2013-111682,2013,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,TEC-AC-10002167,Technology,Accessories,ImationÃÂ 8gb Micro Traveldrive Usb 2.0ÃÂ Flash Drive,30.00,2.00,0.00,3.30,11.00,1.00
61,CA-2013-111682,2013,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.00,0.20,16.36,33.75,1.00
62,CA-2013-111682,2013,2013-06-18,2013-06-19,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180.00,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.00,0.00,0.84,50.00,1.00
63,CA-2012-135545,2012,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.00,0.00,6.15,44.00,6.00
64,CA-2012-135545,2012,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6.00,0.20,9.36,36.25,6.00
65,CA-2012-135545,2012,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3.00,0.00,68.96,47.00,6.00
66,CA-2012-135545,2012,2012-11-24,2012-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004.00,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.00,0.00,22.33,28.00,6.00
67,US-2012-164175,2012,2012-04-30,2012-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610.00,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5.00,0.30,-15.22,-7.14,5.00
68,CA-2011-106376,2011,2011-12-05,2011-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.00,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8.00,0.20,111.30,10.00,5.00
69,CA-2011-106376,2011,2011-12-05,2011-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.00,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.97,4.00,0.20,62.99,37.50,5.00
70,CA-2013-119823,2013,2013-06-05,2013-06-07,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.00,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2.00,0.00,35.66,47.00,2.00
71,CA-2013-106075,2013,2013-09-19,2013-09-24,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009.00,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1.00,0.20,1.73,37.50,5.00
72,CA-2014-114440,2014,2014-09-15,2014-09-18,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201.00,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3.00,0.00,8.76,46.00,3.00
73,US-2012-134026,2012,2012-04-26,2012-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.00,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.94,8.00,0.20,-114.39,-13.75,6.00
74,US-2012-134026,2012,2012-04-26,2012-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.00,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2.00,0.20,1.21,1.25,6.00
75,US-2012-134026,2012,2012-04-26,2012-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109.00,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78,1.00,0.20,-18.20,-25.00,6.00
76,US-2014-118038,2014,2014-12-10,2014-12-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.00,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.25,3.00,0.80,-1.93,-155.00,2.00
77,US-2014-118038,2014,2014-12-10,2014-12-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.00,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.71,3.00,0.60,-5.82,-60.00,2.00
78,US-2014-118038,2014,2014-12-10,2014-12-12,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.00,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3.00,0.20,2.72,10.00,2.00
79,US-2011-147606,2011,2011-11-26,2011-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070.00,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.30,5.00,0.60,-14.48,-75.00,5.00
80,CA-2013-127208,2013,2013-06-13,2013-06-16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.00,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1.00,0.00,56.20,27.00,3.00
81,CA-2013-127208,2013,2013-06-13,2013-06-16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601.00,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3.00,0.00,8.04,48.00,3.00
82,CA-2011-139451,2011,2011-10-12,2011-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.00,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.90,5.00,0.00,4.17,28.00,4.00
83,CA-2011-139451,2011,2011-10-12,2011-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122.00,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.00,0.00,6.20,29.00,4.00
84,CA-2012-149734,2012,2012-09-03,2012-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707.00,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.98,7.00,0.20,62.81,31.25,5.00
85,US-2014-119662,2014,2014-11-14,2014-11-17,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623.00,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.38,3.00,0.20,-48.95,-21.25,3.00
86,CA-2014-140088,2014,2014-05-29,2014-05-31,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203.00,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2.00,0.00,33.22,11.00,2.00
87,CA-2014-155558,2014,2014-10-27,2014-11-03,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901.00,Central,TEC-AC-10001998,Technology,Accessories,LogitechÃÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.00,0.00,6.80,34.00,7.00
88,CA-2014-155558,2014,2014-10-27,2014-11-03,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901.00,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2.00,0.00,2.96,48.00,7.00
89,CA-2013-159695,2013,2013-04-06,2013-04-11,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095.00,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.37,7.00,0.20,13.86,8.75,5.00
90,CA-2013-109806,2013,2013-09-18,2013-09-23,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.00,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.10,3.00,0.00,6.63,33.00,5.00
91,CA-2013-109806,2013,2013-09-18,2013-09-23,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.00,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.58,2.00,0.20,8.28,11.25,5.00
92,CA-2013-109806,2013,2013-09-18,2013-09-23,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036.00,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1.00,0.00,3.11,48.00,5.00
93,CA-2012-149587,2012,2012-01-31,2012-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.00,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2.00,0.00,6.22,48.00,5.00
94,CA-2012-149587,2012,2012-01-31,2012-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.00,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3.00,0.00,16.54,31.00,5.00
95,CA-2012-149587,2012,2012-01-31,2012-02-05,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407.00,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2.00,0.00,16.15,49.00,5.00
96,US-2014-109484,2014,2014-11-07,2014-11-13,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206.00,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.68,1.00,0.70,-3.79,-66.67,6.00
